time,position,velocity,energy
130,36.5713,-91.7098,4874.07
130.5,-12.0336,-98.4821,4921.76
131,-57.6922,-81.1426,4956.25
131.5,-89.2258,-43.9365,4945.83
132,-98.9137,4.02672,4900.07
132.5,-84.3842,51.0041,4861.05
133,-49.1944,85.4939,4864.65
133.5,-1.96016,99.0518,4907.55
134,45.754,88.3583,4950.31
134.5,82.266,56.0317,4953.62
135,98.6364,9.98657,4914.44
135.5,90.8572,-38.5036,4868.78
136,60.8329,-77.5668,4858.63
136.5,15.9147,-97.6389,4893.32
137,-32.9,-93.8056,4940.95
137.5,-73.6597,-67.0054,4957.74
138,-96.3849,-23.8,4928.24
138.5,-95.5117,25.2325,4879.58
139,-71.2539,68.0873,4856.5
139.5,-29.5507,94.2718,4880.21
140,19.3876,97.3754,4928.92
140.5,63.5791,76.638,4957.84
141,92.2042,37.137,4940.39
141.5,98.2545,-11.4564,4892.6
142,80.2487,-57.2449,4858.42
142.5,42.5952,-89.0179,4869.27
143,-5.48708,-98.9962,4915.17
143.5,-52.226,-84.7367,4953.93
144,-86.1781,-49.7308,4949.91
144.5,-99.0308,-2.54901,4906.8
145,-87.6374,45.2569,4864.24
145.5,-54.7872,81.9823,4861.36
146,-8.52324,98.6355,4900.81
146.5,39.8275,91.1394,4946.31
147,78.4271,61.3292,4956.04
147.5,97.825,16.5034,4921.05
148,93.2719,-32.363,4873.51
148.5,65.8826,-73.3058,4857.13
149,22.363,-96.3007,4886.97
149.5,-26.6319,-95.7179,4935.59
150,-69.1064,-71.7001,4958.3
150.5,-94.6612,-30.1275,4934.21
151,-97.0397,18.8213,4885.47
151.5,-75.6594,63.162,4856.9
152,-35.7551,92.0385,4874.75
152.5,12.9033,98.3807,4922.63
153,58.4025,80.6359,4956.5
153.5,89.6028,43.1486,4945.23
154,98.8652,-4.90297,4899.18
154.5,83.9219,-51.7541,4860.69
155,48.4316,-85.934,4865.14
155.5,1.0836,-99.0743,4908.45
156,-46.5297,-87.9578,4950.79
156.5,-82.7509,-55.3061,4953.24
157,-98.7119,-9.11351,4913.54
157.5,-90.5047,39.3103,4868.2
158,-60.1388,78.1097,4858.89
158.5,-15.0488,97.785,4894.19
159,33.7256,93.5192,4941.63
159.5,74.2429,66.3566,4957.6
160,96.5828,22.9476,4927.42
160.5,95.276,-26.0798,4878.83
161,70.6422,-68.7219,4856.51
161.5,28.7128,-94.5385,4880.98
162,-20.2465,-97.2088,4929.73
162.5,-64.2488,-76.079,4957.96
163,-92.5207,-36.3224,4939.7
163.5,-98.1403,12.3272,4891.74
164,-79.7318,57.9587,4858.18
164.5,-41.8021,89.3998,4869.87
165,6.36218,98.9528,4916.06
165.5,52.9688,84.2786,4954.29
166,86.6068,48.9701,4949.4
166.5,99.0404,1.67206,4905.9
167,87.2255,-46.0354,4863.77
167.5,54.0547,-82.4718,4861.76
168,7.6495,-98.7162,4901.7
168.5,-40.6286,-90.7915,4946.89
169,-78.9594,-60.6378,4955.77
169.5,-97.9582,-15.6379,4920.18
170,-92.9734,33.1907,4872.84
170.5,-65.2255,73.8931,4857.28
171,-21.5081,96.5039,4887.8
171.5,27.4752,95.4871,4936.34
172,69.7317,71.0918,4958.27
172.5,94.9154,29.2907,4933.44
173,96.8605,-19.6818,4884.66
173.5,75.0907,-63.8354,4856.79
174,34.9362,-92.36,4875.45
174.5,-13.772,-98.2716,4923.48
175,-59.1083,-80.1229,4956.73
175.5,-89.9728,-42.3573,4944.62
176,-98.8088,5.77885,4898.29
176.5,-83.453,52.5001,4860.34
177,-47.665,86.3675,4865.65
177.5,-0.206949,99.0891,4909.35
178,47.3018,87.5503,4951.26
178.5,83.2294,54.5761,4952.84
179,98.7796,8.23973,4912.65
179.5,90.145,-40.114,4867.63
180,59.4399,-78.6464,4859.18
180.5,14.1817,-97.9234,4895.06
181,-34.5486,-93.2254,4942.29
181.5,-74.8202,-65.7025,4957.44
182,-96.7732,-22.0934,4926.59
182.5,-95.0328,26.925,4878.09
183,-70.025,69.3512,4856.54
183.5,-27.8727,94.7978,4881.75
184,21.1039,97.0346,4930.54
184.5,64.9134,75.5139,4958.05
185,92.8299,35.5048,4939
185.5,98.0184,-13.1971,4890.89
186,79.2086,-58.6679,4857.96
186.5,41.0057,-89.7747,4870.49
187,-7.23678,-98.9016,4916.95
187.5,-53.7075,-83.8139,4954.63
188,-87.0287,-48.2057,4948.89
188.5,-99.0422,-0.794982,4905
189,-86.8068,46.8103,4863.32
189.5,-53.3181,82.9549,4862.16
190,-6.77517,98.7891,4902.6
190.5,41.4265,90.4364,4947.45
191,79.4855,59.9417,4955.48
191.5,98.0837,14.7711,4919.3
192,92.6676,-34.0159,4872.18
192.5,64.5632,-74.4747,4857.44
193,20.6515,-96.6994,4888.63
193.5,-28.3164,-95.2488,4937.07
194,-70.3515,-70.4779,4958.24
194.5,-95.1621,-28.4516,4932.66
195,-96.6737,20.5406,4883.86
195.5,-74.5162,64.5038,4856.7
196,-34.1145,92.6742,4876.16
196.5,14.6396,98.1548,4924.34
197,59.8094,79.6036,4956.94
197.5,90.3357,41.5626,4944
198,98.7448,-6.65426,4897.41
198.5,82.9777,-53.242,4860
199,46.8947,-86.7942,4866.17
199.5,-0.669713,-99.0962,4910.25
200,-48.0702,-87.1359,4951.71
200.5,-83.7013,-53.8418,4952.43
201,-98.8395,-7.36531,4911.75
201.5,-89.7783,40.9145,4867.07
202,-58.7363,79.177,4859.47
202.5,-13.3136,98.0542,4895.93
203,35.3688,92.9243,4942.94
203.5,75.3917,65.0433,4957.27
204,96.956,21.2375,4925.75
204.5,94.7821,-27.7681,4877.36
205,69.4023,-69.975,4856.59
205.5,27.0303,-95.0496,4882.53
206,-21.9596,-96.8528,4931.34
206.5,-65.573,-74.943,4958.14
207,-93.1319,-34.6845,4938.28
207.5,-97.8888,14.0659,4890.04
208,-78.6792,59.3725,4857.75
208.5,-40.2061,90.1426,4871.11
209,8.1108,98.8427,4917.83
209.5,54.4419,83.3427,4954.96
210,87.4438,47.4374,4948.36
210.5,99.0363,-0.0821575,4904.1
211,86.3813,-47.5816,4862.87
211.5,52.5772,-83.4314,4862.58
212,5.9003,-98.8543,4903.5
212.5,-42.2212,-90.0742,4948
213,-80.0054,-59.2408,4955.17
213.5,-98.2016,-13.9032,4918.42
214,-92.3545,34.8384,4871.54
214.5,-63.8959,75.0504,4857.62
215,-19.7933,96.8874,4889.47
215.5,29.1554,95.003,4937.8
216,70.9658,69.8585,4958.18
216.5,95.4013,27.6103,4931.87
217,96.4793,-21.3979,4883.06
217.5,73.9357,-65.1672,4856.63
218,33.2902,-92.9812,4876.87
218.5,-15.506,-98.0303,4925.18
219,-60.5058,-79.078,4957.14
219.5,-90.6916,-40.7648,4943.37
220,-98.673,7.52916,4896.52
220.5,-82.4958,53.9797,4859.68
221,-46.1207,87.2141,4866.71
221.5,1.54632,99.0954,4911.15
222,48.8347,86.7148,4952.14
222.5,84.1667,53.1033,4952
223,98.8918,6.49031,4910.85
223.5,89.4046,-41.7117,4866.53
224,58.0281,-79.7013,4859.78
224.5,12.4443,-98.1772,4896.81
225,-36.1863,-92.6159,4943.58
225.5,-75.9572,-64.379,4957.08
226,-97.1312,-20.3799,4924.9
226.5,-94.5241,28.609,4876.64
227,-68.7741,70.5933,4856.65
227.5,-26.1859,95.294,4883.32
228,22.8135,96.6634,4932.13
228.5,66.2275,74.3662,4958.2
229,93.4266,33.8615,4937.56
229.5,97.7516,-14.9336,4889.19
230,78.1436,-60.0724,4857.56
230.5,39.4034,-90.5035,4871.75
231,-8.9842,-98.7761,4918.71
231.5,-55.1721,-82.8649,4955.28
232,-87.852,-46.6655,4947.82
232.5,-99.0226,0.95929,4903.2
233,-85.9491,48.3492,4862.44
233.5,-51.8322,83.9015,4863.02
234,-5.02497,98.9118,4904.4
234.5,43.0125,89.705,4948.54
235,80.5191,58.5354,4954.85
235.5,98.3117,13.0342,4917.54
236,92.0342,-35.6582,4870.9
236.5,63.2236,-75.6202,4857.82
237,18.9336,-97.0678,4890.32
237.5,-29.992,-94.7498,4938.52
238,-71.5746,-69.2337,4958.11
238.5,-95.6331,-26.7668,4931.08
239,-96.2774,22.2535,4882.27
239.5,-73.3495,65.8254,4856.57
240,-32.4632,93.281,4877.6
240.5,16.3713,97.8981,4926.03
241,61.1975,78.5463,4957.33
241.5,91.0404,39.9637,4942.72
242,98.5935,-8.40346,4895.64
242.5,82.0074,-54.7131,4859.37
243,45.3431,-87.6271,4867.25
243.5,-2.42281,-99.0869,4912.05
244,-49.5955,-86.2868,4952.57
244.5,-84.6255,-52.3607,4951.56
245,-98.9362,-5.6148,4909.95
245.5,-89.0239,42.5058,4866
246,-57.3154,80.2194,4860.11
246.5,-11.5741,98.2926,4897.7
247,37.0009,92.3003,4944.21
247.5,76.5168,63.7097,4956.87
248,97.2988,19.5207,4924.06
248.5,94.2586,-29.4476,4875.92
249,68.1406,-71.2062,4856.73
249.5,25.3394,-95.5309,4884.12
250,-23.6657,-96.4664,4932.92
250.5,-66.8767,-73.7835,4958.25
251,-93.7139,-33.0359,4936.83
251.5,-97.6067,15.8001,4888.35
252,-77.6019,60.7677,4857.39
252.5,-38.5975,90.8572,4872.4
253,9.85689,98.7017,4919.59
253.5,55.898,82.3806,4955.57
254,88.2533,45.8898,4947.26
254.5,99.0012,-1.83635,4902.3
255,85.5101,-49.1129,4862.03
255.5,51.0831,-84.365,4863.47
256,4.14925,-98.9615,4905.3
256.5,-43.8005,-89.3288,4949.06
257,-81.0264,-57.8253,4954.52
257.5,-98.4142,-12.1642,4916.66
258,-91.7067,36.4752,4870.28
258.5,-62.5463,76.1841,4858.03
259,-18.0723,97.2406,4891.17
